Step,画像,VAEあり,pooling
256,49.44200134,46.57830429,16.45889282
512,33.76863861,39.10664368,16.61789131
768,34.35897827,38.61368561,17.27997589
1024,35.67996979,41.20297241,21.42418861
1280,35.21167374,37.19173431,23.18320656
1536,35.3307991,40.40879059,25.58073425
1792,39.24122238,40.75965118,26.98582649
2048,37.38999176,38.93432999,28.08924675
2304,40.12142181,37.92295074,28.92994308
2560,43.02625656,37.60997391,30.2971077
2816,43.79243088,41.04362106,31.28602791
3072,43.24072266,40.24929428,31.78102112
3328,43.69768906,42.26802063,32.91635513
3584,44.15205002,44.6776619,33.17551804
3840,44.19963837,44.12488556,33.62056351
4096,44.65510559,45.83570099,33.64254761
4352,46.76778793,47.37643433,34.56953049
4608,46.51205063,49.23313141,34.67848587
4864,45.90187073,49.67172241,34.82921982
5120,46.52772903,51.66005325,36.30037308
5376,47.50905228,52.98466873,37.17023849
5632,47.42037964,53.09915924,38.03077698
5888,48.24188995,53.49843216,38.12498093
6144,48.86981583,55.33335495,37.85466385
6400,49.28367996,55.24531174,37.6435585
6656,50.14749146,55.43697739,38.21485519
6912,49.64376831,57.26723862,38.11591721
7168,51.41894531,59.7573967,39.71717453
7424,51.9589653,60.58624649,40.66483688
7680,52.19028854,62.33430481,41.96036148
7936,53.14015198,62.6001091,43.04532242
8192,54.1153717,64.29933167,43.31829453
8448,55.15822983,66.3117218,43.7212944
8704,54.70687485,67.90210724,45.68116379
8960,55.07686996,69.28437042,46.27807999
9216,55.7291832,70.556633,45.78219604
9472,55.96841049,72.97484589,46.12256622
9728,56.41652298,74.92566681,47.12126923
9984,57.75272751,77.17985535,47.02112961
10240,58.42605209,79.4354248,46.97959518
10496,59.81087112,81.73067474,47.97707367
10752,62.04037476,83.30922699,48.48183441
11008,62.83703995,84.02827454,49.18945313
11264,65.20752716,86.99716949,50.45563889
11520,66.43823242,88.55791473,50.81790543
11776,67.60294342,88.80822754,51.67160416
12032,69.99217987,90.25922394,52.34767914
12288,70.38743591,92.34797668,54.324543
12544,71.80846405,96.77732849,54.96113968
12800,71.80846405,98.01332092,54.50687027
13056,73.76607513,100.0520401,54.6232605
13312,74.86076355,102.0823593,54.70739365
13568,74.86076355,103.5589294,54.88449478
13824,77.63442993,104.8463821,56.11155319
14080,78.30310059,106.2745361,56.57894135
14336,79.16625214,107.6277924,56.92519379
14592,79.77841949,109.5430603,58.89380264
14848,80.47208405,110.4947968,60.1086235
15104,80.94029236,112.474472,60.30477524
15360,82.14967346,112.7089081,60.15853119
15616,82.89147186,116.6438065,61.49202728
15872,82.69297791,118.1511765,62.70401001
16128,83.02970886,122.1650314,62.61037827
16384,82.83291626,123.5601578,63.32229614
16640,83.69367981,124.1960831,64.87815857
16896,84.31977081,123.9570847,61.58790588
17152,83.86991882,125.0445251,61.75331497
17408,85.35054016,130.2937317,63.50778961
17664,84.74693298,130.0922089,63.48542023
17920,85.16854858,129.2706757,63.18894577
18176,85.48886871,132.8917999,62.90389252
18432,85.22399902,134.6017303,63.84110641
18688,85.46952057,137.1152191,65.21759033
18944,86.34994507,137.867157,65.38176727
19200,85.68011475,139.4211273,65.686203
19456,86.04884338,139.1408386,66.07093048
19712,85.96962738,140.7414551,64.62557983
19968,85.80480957,141.9790192,65.61568451
20224,85.07933807,143.8283997,65.47052765
20480,85.63647461,143.6091766,64.9217453
20736,85.62441254,145.3547363,64.08321381
